INFO - main.py - 2025-12-27 21:07:39,297 - Using device: cuda
INFO - main.py - 2025-12-27 21:07:39,301 - Writing log file to run/logs/cifar10
INFO - main.py - 2025-12-27 21:07:39,301 - Exp instance id = 1362
INFO - main.py - 2025-12-27 21:07:39,301 - Exp comment = 
INFO - main.py - 2025-12-27 21:07:39,301 - Config =
INFO - anneal_runner.py - 2025-12-27 21:08:25,886 - step: 65, loss: 195.559814453125
INFO - anneal_runner.py - 2025-12-27 21:08:26,415 - step: 66, loss: 188.37905883789062
INFO - anneal_runner.py - 2025-12-27 21:08:26,949 - step: 67, loss: 204.14341735839844
INFO - anneal_runner.py - 2025-12-27 21:08:27,479 - step: 68, loss: 189.03488159179688
INFO - anneal_runner.py - 2025-12-27 21:08:28,007 - step: 69, loss: 178.57025146484375
INFO - anneal_runner.py - 2025-12-27 21:08:28,538 - step: 70, loss: 187.7223663330078
INFO - anneal_runner.py - 2025-12-27 21:08:29,066 - step: 71, loss: 206.94186401367188
INFO - anneal_runner.py - 2025-12-27 21:08:29,594 - step: 72, loss: 192.04275512695312
INFO - anneal_runner.py - 2025-12-27 21:08:30,122 - step: 73, loss: 195.91592407226562
INFO - anneal_runner.py - 2025-12-27 21:08:30,649 - step: 74, loss: 176.97813415527344
INFO - anneal_runner.py - 2025-12-27 21:08:31,179 - step: 75, loss: 174.4889678955078
INFO - anneal_runner.py - 2025-12-27 21:08:31,708 - step: 76, loss: 199.46466064453125
INFO - anneal_runner.py - 2025-12-27 21:08:32,240 - step: 77, loss: 198.77957153320312
INFO - anneal_runner.py - 2025-12-27 21:08:32,772 - step: 78, loss: 170.71597290039062
INFO - anneal_runner.py - 2025-12-27 21:08:33,302 - step: 79, loss: 194.11050415039062
INFO - anneal_runner.py - 2025-12-27 21:08:33,832 - step: 80, loss: 170.5061492919922
INFO - anneal_runner.py - 2025-12-27 21:08:34,365 - step: 81, loss: 166.58767700195312
INFO - anneal_runner.py - 2025-12-27 21:08:34,901 - step: 82, loss: 168.3221435546875
INFO - anneal_runner.py - 2025-12-27 21:08:35,434 - step: 83, loss: 179.371826171875
INFO - anneal_runner.py - 2025-12-27 21:08:35,967 - step: 84, loss: 169.4712371826172
INFO - anneal_runner.py - 2025-12-27 21:08:36,498 - step: 85, loss: 184.44204711914062
INFO - anneal_runner.py - 2025-12-27 21:08:37,029 - step: 86, loss: 164.41323852539062
INFO - anneal_runner.py - 2025-12-27 21:08:37,565 - step: 87, loss: 188.14907836914062
INFO - anneal_runner.py - 2025-12-27 21:08:38,100 - step: 88, loss: 165.07249450683594
INFO - anneal_runner.py - 2025-12-27 21:08:38,642 - step: 89, loss: 180.09300231933594
INFO - anneal_runner.py - 2025-12-27 21:08:39,175 - step: 90, loss: 173.9447021484375
INFO - anneal_runner.py - 2025-12-27 21:08:39,714 - step: 91, loss: 168.28977966308594
INFO - anneal_runner.py - 2025-12-27 21:08:40,248 - step: 92, loss: 166.61798095703125
INFO - anneal_runner.py - 2025-12-27 21:08:40,783 - step: 93, loss: 169.18771362304688
INFO - anneal_runner.py - 2025-12-27 21:08:41,315 - step: 94, loss: 183.849365234375
INFO - anneal_runner.py - 2025-12-27 21:08:41,852 - step: 95, loss: 145.445556640625
INFO - anneal_runner.py - 2025-12-27 21:08:42,385 - step: 96, loss: 173.018310546875
INFO - anneal_runner.py - 2025-12-27 21:08:42,922 - step: 97, loss: 191.51812744140625
INFO - anneal_runner.py - 2025-12-27 21:08:43,455 - step: 98, loss: 169.62953186035156
INFO - anneal_runner.py - 2025-12-27 21:08:43,993 - step: 99, loss: 147.03509521484375
INFO - anneal_runner.py - 2025-12-27 21:08:44,527 - step: 100, loss: 169.97314453125
INFO - anneal_runner.py - 2025-12-27 21:08:45,269 - step: 101, loss: 170.38450622558594
INFO - anneal_runner.py - 2025-12-27 21:08:45,803 - step: 102, loss: 195.13818359375
INFO - anneal_runner.py - 2025-12-27 21:08:46,342 - step: 103, loss: 169.85446166992188
INFO - anneal_runner.py - 2025-12-27 21:08:46,877 - step: 104, loss: 168.9801025390625
INFO - anneal_runner.py - 2025-12-27 21:08:47,419 - step: 105, loss: 141.8409881591797
INFO - anneal_runner.py - 2025-12-27 21:08:47,954 - step: 106, loss: 165.9068603515625
INFO - anneal_runner.py - 2025-12-27 21:08:48,494 - step: 107, loss: 166.3851776123047
INFO - anneal_runner.py - 2025-12-27 21:08:49,033 - step: 108, loss: 175.51104736328125
INFO - anneal_runner.py - 2025-12-27 21:08:49,569 - step: 109, loss: 173.06336975097656
INFO - anneal_runner.py - 2025-12-27 21:08:50,111 - step: 110, loss: 204.7508544921875
INFO - anneal_runner.py - 2025-12-27 21:08:50,654 - step: 111, loss: 178.08676147460938
INFO - anneal_runner.py - 2025-12-27 21:08:51,195 - step: 112, loss: 187.05734252929688
